Valentina Maccatrozzo,,
Davide Ceolin,,
Martine de Vos,,
Xander Wilcke,,
Oana Inel,,
Benjamin Timmermans,,
Cristina Bucur,,
Bob Wielinga,,
Paul Groth,,2015
Laura Hollink,,
Hans Akkermans,,2015
Jacco van Ossenbruggen,,
Guus Schreiber,,
Anton Eliens,,
Jan Top,,
Lora Aroyo,,
Victor de Boer,,
Tobias Kuhn,2015,
Antske Fokkens,,
Serge ter Braake,,
Jan Wielemaker,,
Antoine Isaac,,
Anna Bon,,
Ronald Siebes,,
Chris Dijkshoorn,,
Dena Tahvildari,,
Anca Dumitrache,2012,
Riste Gligorov,,
Niels Ockeloen,,
Viktor de Boer,,
